供应商,PO_NO,产品型号,二级代码,LOT_ID,WAFER_ID,WAFER_QTY,站点,状态,DIE_NUM,ACTION_TIME,LOT_TYPE,EQPTID,特殊品/真空包备注,等级,WO_NO,ROUTE_ID,属性,仓库,FAB_DEVICE,NOTE
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A008888,1,1,hold,hold,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A008888,2,1,hold,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A008888,3,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A008888,4,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A008888,5,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A008888,6,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A008888,7,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A008888,8,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A008888,9,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A008888,10,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A009999,11,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A009999,12,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A009999,13,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A009999,14,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A009999,15,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A009999,16,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A009999,17,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
VisEra,,GC02M1BO-WC1X0-2.1,EOBB,A009999,18,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,SH,S5KTJBGX03-7,
