供应商,PO_NO,产品型号,二级代码,LOT_ID,WAFER_ID,WAFER_QTY,站点,状态,DIE_NUM,ACTION_TIME,LOT_TYPE,EQPTID,特殊品/真空包备注,等级,WO_NO,ROUTE_ID,属性,产地,SHIP_TO
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A005903,8,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A005904,9,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A005905,10,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A005906,11,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A005907,12,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A005908,13,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A005909,14,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A005910,15,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A005911,16,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A005912,17,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A005913,18,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A005914,18,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,B005915,18,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,B005916,8,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,B005917,9,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
