供应商,PO_NO,产品型号,二级代码,LOT_ID,WAFER_ID,WAFER_QTY,站点,状态,DIE_NUM,ACTION_TIME,LOT_TYPE,EQPTID,特殊品/真空包备注,等级,WO_NO,ROUTE_ID,属性,产地,SHIP_TO
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,1,1,hold,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,2,1,hold,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,3,1,hold,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,4,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,5,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,6,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,7,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,8,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,9,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,10,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,11,1,hold,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,12,1,hold,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,13,1,hold,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,14,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,15,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,16,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,17,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,18,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,19,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A008888,20,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202007,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,21,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202007,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,1,1,hold,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,2,1,hold,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,3,1,hold,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,4,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,5,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,6,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,7,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,8,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,9,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,10,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,11,1,hold,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A009999,12,1,hold,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"China Wafer Level Csp Co.,Ltd"
