供应商,PO_NO,产品型号,二级代码,LOT_ID,WAFER_ID,WAFER_QTY,站点,状态,DIE_NUM,ACTION_TIME,LOT_TYPE,EQPTID,特殊品/真空包备注,等级,WO_NO,ROUTE_ID,属性,仓库,FAB_DEVICE,NOTE
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,1,1,INV,hold,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,2,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,3,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,4,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,5,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,6,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,7,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,8,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,9,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,10,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,11,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,12,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,13,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,24,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,25,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,16,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,17,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,18,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A001953.01,18,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
