供应商,PO_NO,产品型号,二级代码,LOT_ID,WAFER_ID,WAFER_QTY,站点,状态,DIE_NUM,ACTION_TIME,LOT_TYPE,EQPTID,特殊品/真空包备注,等级,WO_NO,ROUTE_ID,属性,产地,SHIP_TO
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,1,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,2,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,3,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,4,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,5,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,6,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,7,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,8,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,9,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,10,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,11,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,12,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,13,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,14,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,15,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,16,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,17,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,18,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,19,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202006,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,20,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202007,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
Galaxycore,HK2101180027,GC02M1-WC1XA-2.1,KOGB,A001954.01,21,1,INV,INV,5869,2020/12/4,MP,INV,,A,WO_201202007,,HK,浙江,"TONG HSING ELECTRONIC INDUSTRIES, LTD."
