NO,Sub Name,Ship To,Fab Device,Customer Device,GC Version,PO NO,Invoice NO,Ship Out Date,FAB Lot ID,Wafer ID,Gross Dies,Sampling Qty,Pass Dies,NG Die,Yield,Pack Lot ID,Wafer Mark,Grade,Carton NO,WO,Lot Property,Lot Owner,Telephone,Remark,Lot Type
1,KLT,KLT_COG,S5KTHEYX01-7FD,GC5035-WC1X0-2.1,FDVB,HK2101210004,KLTC21023E5,2021/2/19,A001954.01,1,2202,,2022,180,,,,A,1,,,,,,
2,KLT,KLT_COG,S5KTHEYX01-7FD,GC5035-WC1X0-2.1,FDVB,HK2101210004,KLTC21023E5,2021/2/19,A001954.01,2,2202,,2090,112,,,,A,1,,,,,,
3,KLT,KLT_COG,S5KTHEYX01-7FD,GC5035-WC1X0-2.1,FDVB,HK2101210004,KLTC21023E5,2021/2/19,A001954.01,3,2202,,2050,152,,,,A,1,,,,,,
4,KLT,KLT_COG,S5KTHEYX01-7FD,GC5035-WC1X0-2.1,FDVB,HK2101210004,KLTC21023E5,2021/2/19,A001954.01,4,2202,,2099,103,,,,A,1,,,,,,
5,KLT,KLT_COG,S5KTHEYX01-7FD,GC5035-WC1X0-2.1,FDVB,HK2101210004,KLTC21023E5,2021/2/19,A001954.01,5,2202,,2087,115,,,,A,1,,,,,,
6,KLT,KLT_COG,S5KTHEYX01-7FD,GC5035-WC1X0-2.1,FDVB,HK2101210004,KLTC21023E5,2021/2/19,A001954.01,6,2202,,2049,153,,,,A,1,,,,,,
7,KLT,KLT_COG,S5KTHEYX01-7FD,GC5035-WC1X0-2.1,FDVB,HK2101210004,KLTC21023E5,2021/2/19,A001954.01,7,2202,,2059,143,,,,A,1,,,,,,
8,KLT,KLT_COG,S5KTHEYX01-7FD,GC5035-WC1X0-2.1,FDVB,HK2101210004,KLTC21023E5,2021/2/19,A001954.01,8,2202,,2093,109,,,,A,1,,,,,,
9,KLT,KLT_COG,S5KTHEYX01-7FD,GC5035-WC1X0-2.1,FDVB,HK2101210004,KLTC21023E5,2021/2/19,A001954.01,9,2202,,2047,155,,,,A,1,,,,,,
10,KLT,KLT_COG,S5KTHEYX01-7FD,GC5035-WC1X0-2.1,FDVB,HK2101210004,KLTC21023E5,2021/2/19,A001954.01,10,2202,,2076,126,,,,A,1,,,,,,
11,KLT,KLT_COG,S5KTHEYX01-7FD,GC5035-WC1X0-2.1,FDVB,HK2101210004,KLTC21023E5,2021/2/19,A001953.01,11,2202,,2088,114,,,,A,1,,,,,,
