Sub Name,To Sub Name,Product ID,Customer Device,GC Version,PO,Lot ID,Wafer ID,Lot State,Stage,Current Wafer Qty,Projected Out Date,Commit Date,Wafer Start Date,Total Layers,Rem. Layers,CanSemi Fab,Gross Die,Lot Type
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A008888,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,WS-START,25,2021/4/8 0:00,2021/4/8 0:00,2021/2/20 8:37,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A009999,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,WS-START,25,2021/4/8 0:00,2021/4/8 0:00,2021/2/20 8:36,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005953,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,WS-START,25,2021/4/8 0:00,2021/4/8 0:00,2021/2/20 8:35,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005952,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,WS-START,25,2021/4/6 0:00,2021/4/6 0:00,2021/2/20 8:34,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005951,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,WS-START,25,2021/4/6 0:00,2021/4/6 0:00,2021/2/20 8:34,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005950,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ACT-SIN,25,2021/4/6 0:00,2021/4/6 0:00,2021/2/18 9:53,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005949,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ACT-DARC,25,2021/4/6 0:00,2021/4/6 0:00,2021/2/18 9:53,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005948,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ACT-SIN,25,2021/4/6 0:00,2021/4/6 0:00,2021/2/18 9:52,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005947,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ACT-SIN,25,2021/4/6 0:00,2021/4/6 0:00,2021/2/18 9:47,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005946,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ACT-SIN,25,2021/4/5 0:00,2021/4/5 0:00,2021/2/18 9:46,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005945,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ACT-DARC,25,2021/4/5 0:00,2021/4/5 0:00,2021/2/18 9:45,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005944,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ACT-DARC,25,2021/4/5 0:00,2021/4/5 0:00,2021/2/18 9:44,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005943,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ACT-DARC,25,2021/4/5 0:00,2021/4/5 0:00,2021/2/18 9:44,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005942,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ACT-DARC,25,2021/4/5 0:00,2021/4/5 0:00,2021/2/17 8:36,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005941,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ACT-DARC,25,2021/4/5 0:00,2021/4/5 0:00,2021/2/17 8:35,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005940,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ACT-DARC,25,2021/4/5 0:00,2021/4/5 0:00,2021/2/17 8:35,26,26,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2021011806,A005939,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ACT-DARC,25,2021/4/5 0:00,2021/4/5 0:00,2021/2/17 8:34,26,26,GZ 300MM FAB1,5889,PP
