Sub Name,To Sub Name,Product ID,Customer Device,GC Version,PO,Lot ID,Wafer ID,Lot State,Stage,Current Wafer Qty,Projected Out Date,Commit Date,Wafer Start Date,Total Layers,Rem. Layers,CanSemi Fab,Gross Die,Lot Type
CanSemi,,C00007D,GC02M1-1,D,SHGC-2020011602,A001351.09,"#05,06",Bank,PIPR-PH,2,2020-07-11 00:00:00,2020-07-11 00:00:00,2020-05-25 08:17:26,26,1,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020110301,A003685.03,#06,Bank,M2-PH,1,2021-01-03 00:00:00,2021-01-03 00:00:00,2020-11-21 08:58:55,26,4,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004621,"#03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,PW-IMP,23,2021-02-01 00:00:00,2021-02-01 00:00:00,2020-12-17 08:51:19,26,22,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004635.03,#24,Hold,VIA2W-CMP,1,2021-02-02 00:00:00,2021-02-02 00:00:00,2020-12-18 08:41:10,26,3,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004639,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-02 00:00:00,2021-02-02 00:00:00,2020-12-18 16:24:20,26,,GZ 300MM FAB1,5869,PE
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004646,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-03 00:00:00,2021-02-03 00:00:00,2020-12-19 08:43:14,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004678,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-16 00:00:00,2021-02-16 00:00:00,2020-12-21 12:17:23,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004729,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-16 00:00:00,2021-02-16 00:00:00,2020-12-22 11:19:28,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004733,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-16 00:00:00,2021-02-16 00:00:00,2020-12-22 11:23:55,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004744,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,PAS-ALY,25,2021-02-17 00:00:00,2021-02-17 00:00:00,2020-12-23 14:11:52,26,0,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004753,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-18 00:00:00,2021-02-18 00:00:00,2020-12-24 09:04:32,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004754,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-18 00:00:00,2021-02-18 00:00:00,2020-12-24 09:05:16,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004759,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-09 00:00:00,2021-02-09 00:00:00,2020-12-25 08:41:56,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004761,"#19,21",Hold,M1-SPUT,2,2021-02-09 00:00:00,2021-02-09 00:00:00,2020-12-25 08:43:23,26,7,GZ 300MM FAB1,5869,PE
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004761.05,#22,Hold,M1-SPUT,1,2021-02-09 00:00:00,2021-02-09 00:00:00,2020-12-25 08:43:23,26,7,GZ 300MM FAB1,5869,PE
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004763,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-19 00:00:00,2021-02-19 00:00:00,2020-12-25 08:45:57,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004764,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-19 00:00:00,2021-02-19 00:00:00,2020-12-25 08:46:41,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004773,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-20 00:00:00,2021-02-20 00:00:00,2020-12-26 09:17:12,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004774,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-20 00:00:00,2021-02-20 00:00:00,2020-12-26 09:17:53,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004783,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,SA-DEP,25,2021-02-21 00:00:00,2021-02-21 00:00:00,2020-12-27 09:22:51,26,8,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004784,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-21 00:00:00,2021-02-21 00:00:00,2020-12-27 11:39:55,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004791,"#01,02,03,04,05,06,07,08,09,10,11,13,15,16,17,18,19,21,22,23,24,25",inventory,inventory,22,2021-02-12 00:00:00,2021-02-12 00:00:00,2020-12-28 08:38:15,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004791.04,#12,Hold,VIA1W-CMP,1,2021-02-12 00:00:00,2021-02-12 00:00:00,2020-12-28 08:38:15,26,5,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004793,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-22 00:00:00,2021-02-22 00:00:00,2020-12-28 08:39:48,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004794,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-22 00:00:00,2021-02-22 00:00:00,2020-12-28 08:40:28,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004803,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-23 00:00:00,2021-02-23 00:00:00,2020-12-30 00:30:21,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004804,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-23 00:00:00,2021-02-23 00:00:00,2020-12-30 00:32:02,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004913,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-14 00:00:00,2021-02-14 00:00:00,2020-12-30 14:58:37,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004917,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-24 00:00:00,2021-02-24 00:00:00,2020-12-31 11:45:23,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004918,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-24 00:00:00,2021-02-24 00:00:00,2021-01-01 16:56:09,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004921,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-15 00:00:00,2021-02-15 00:00:00,2021-01-01 16:59:25,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004923,"#18,19,20,21,22,23,24,25",Hold,OQA-INSP,8,2021-02-15 00:00:00,2021-02-15 00:00:00,2021-01-01 22:31:01,26,0,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004923.04,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17",inventory,inventory,17,2021-02-15 00:00:00,2021-02-15 00:00:00,2021-01-01 22:31:01,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004925,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-15 00:00:00,2021-02-15 00:00:00,2021-01-01 22:32:20,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004926,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-15 00:00:00,2021-02-15 00:00:00,2021-01-01 22:33:04,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004927,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-25 00:00:00,2021-02-25 00:00:00,2021-01-01 22:33:48,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004928,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-25 00:00:00,2021-02-25 00:00:00,2021-01-02 12:05:22,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004929,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-16 00:00:00,2021-02-16 00:00:00,2021-01-02 12:06:34,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004930,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25",inventory,inventory,24,2021-02-16 00:00:00,2021-02-16 00:00:00,2021-01-02 15:46:15,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004930.02,#18,Hold,WAT-WAT,1,2021-02-16 00:00:00,2021-02-16 00:00:00,2021-01-02 15:46:15,26,0,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020111701,A004931,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-16 00:00:00,2021-02-16 00:00:00,2021-01-02 15:47:08,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004933,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-16 00:00:00,2021-02-16 00:00:00,2021-01-02 15:48:27,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004934,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-16 00:00:00,2021-02-16 00:00:00,2021-01-02 15:49:06,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004935,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Hold,OQA-PACK,25,2021-02-16 00:00:00,2021-02-16 00:00:00,2021-01-02 15:49:47,26,0,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004936,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-16 00:00:00,2021-02-16 00:00:00,2021-01-02 17:46:25,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004937,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-26 00:00:00,2021-02-26 00:00:00,2021-01-02 19:35:35,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004938,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-26 00:00:00,2021-02-26 00:00:00,2021-01-03 10:48:14,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004939,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-26 00:00:00,2021-02-26 00:00:00,2021-01-03 10:49:24,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004940,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Hold,OQA-PACK,25,2021-02-17 00:00:00,2021-02-17 00:00:00,2021-01-03 10:50:52,26,0,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004941,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-17 00:00:00,2021-02-17 00:00:00,2021-01-03 13:35:57,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004942,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-17 00:00:00,2021-02-17 00:00:00,2021-01-03 13:37:24,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004943,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-17 00:00:00,2021-02-17 00:00:00,2021-01-03 13:38:42,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004944,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-17 00:00:00,2021-02-17 00:00:00,2021-01-03 13:40:09,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004945,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-17 00:00:00,2021-02-17 00:00:00,2021-01-03 15:51:32,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004946,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-17 00:00:00,2021-02-17 00:00:00,2021-01-03 15:52:18,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004947,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-17 00:00:00,2021-02-17 00:00:00,2021-01-03 19:24:39,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004948,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,SPACER-ET,25,2021-02-27 00:00:00,2021-02-27 00:00:00,2021-01-04 16:47:47,26,11,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004949,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-27 00:00:00,2021-02-27 00:00:00,2021-01-04 16:48:48,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004950,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-27 00:00:00,2021-02-27 00:00:00,2021-01-04 16:49:48,26,,GZ 300MM FAB1,5869,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A004952,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",inventory,inventory,25,2021-02-18 00:00:00,2021-02-18 00:00:00,2021-01-04 22:43:11,26,,GZ 300MM FAB1,5869,PP
