供应商,PO_NO,产品型号,二级代码,LOT_ID,WAFER_ID,WAFER_QTY,站点,状态,DIE_NUM,ACTION_TIME,LOT_TYPE,EQPTID,特殊品/真空包备注,等级,WO_NO,ROUTE_ID,属性,仓库,FAB_DEVICE,NOTE
GCZJ,,GC46A3-2,EA,672UZ8.22,22,1,INV,INV,1006,2021/1/30,ENG,INV,,A,WO_210130003,,ZSH,ZJ,S5KTHDYQ01-7,
GCZJ,,GC46A3-2,EA,672UZ8.23,23,1,INV,INV,1006,2021/1/30,ENG,INV,,A,WO_210130003,,ZSH,ZJ,S5KTHDYQ01-7,
GCZJ,,GC46A3-2,EA,672UZ8.22,24,1,INV,INV,1006,2021/1/30,ENG,INV,,A,WO_210130003,,ZSH,ZJ,S5KTHDYQ01-7,
GCZJ,,GC46A3-2,EA,672UZ8.22,25,1,INV,INV,1006,2021/1/30,ENG,INV,,A,WO_210130003,,ZSH,ZJ,S5KTHDYQ01-7,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,1,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,3,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,4,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,5,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,6,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,7,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,8,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,9,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,10,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,11,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,12,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,13,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,14,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,15,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,16,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,17,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,18,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,20,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,21,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,22,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,24,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
GCZJ,,GC02M1-WC1XA-2.1,LB,EFH943.02,25,1,INV,INV,5869,2021/1/30,ENG,INV,,A,WO_210119002,,ZSH,ZJ,018L,
