供应商,PO_NO,产品型号,二级代码,LOT_ID,WAFER_ID,WAFER_QTY,站点,状态,DIE_NUM,ACTION_TIME,LOT_TYPE,EQPTID,特殊品/真空包备注,等级,WO_NO,ROUTE_ID,属性,仓库,FAB_DEVICE,NOTE
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,01,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,02,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,03,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,04,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,05,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,06,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,07,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,08,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,09,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,10,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,11,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,12,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,13,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,14,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,15,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,16,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,17,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,18,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,19,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,20,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,21,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,22,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,23,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,24,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38239.01,25,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,01,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,02,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,03,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,04,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,05,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,06,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,07,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,08,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,09,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,10,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,11,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,12,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
JSNepes,ZJ2101210014,GC9304-2.5,ME,GXY38252.01,13,1,INV,INV,2710,2021-03-01,MP,INV,,A,WO_NO_210220030,,ZSH,ZJ,GX1100A-GX11,
