SUBNAME,Flow,Remark,WONo,Si Version,GC Version,Lot Type,Device Name,Part No,Lot Id,VisEra Lot Id,PONo,Wafer Qty,Receiving Date,Transaction Start Date,Wafer Start Date,Lot Status,Stage,Hold Date,Causes,Wafer No,Good Die,Yield
VISERA,SCP,,,D,J,ENG,GC02M1-2,TMHH24,A008888,C60412.00,ESA18122705,20,2016/1/25 16:30,2016/1/26 16:30,2017/7/13 14:34,HELD,FGIN,2017/7/14 14:46,CORR_HOLD,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,1490,
VISERA,SCP,,,D,J,ENG,GC02M1-2,TMHA94,A009999,P61339.00,ESA18122704,20,2016/1/26 15:40,2016/1/27 15:40,2016/2/2 10:47,HELD,FGIN,2016/2/2 11:10,CORR_HOLD,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,
VISERA,CF,,,D,H,ENG,GC02M1-2,00BL,A005953,F92043.00,ESA19071201,3,2019/8/21 18:30,2021/1/12 16:04,2019/7/17 11:56,FGIN,FGIN,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,
VISERA,CF,,WO_NO_190716006,D,J,ENG,GC02M1-2,00BL,A005952,RCV19071310,,1,2019/7/16 14:59,2019/7/16 14:59,,RECV,FGIN,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,
VISERA,CF,,WO_NO_201225038,D,J,PROD,GC02M1-2,C00007,A005951,1FL0629.00,RMAHKGC-2021012050,1,2020/12/28 19:45,2020/12/29 14:56,2020/12/31 19:56,WAIT,FGIN,2021/1/19 15:50,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,
VISERA,CF,,WO_NO_201225038,D,J,PROD,GC02M1-2,C00007,A005950,1FL2748.00,RMAHKGC-2021012050,1,2020/12/28 19:45,2020/12/29 14:55,2020/12/31 19:56,HELD,FGIN,2021/2/3 20:35,HOLD_ADI_PN,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,
VISERA,CF,,WO_NO_201225038,D,J,PROD,GC02M1-2,C00007,A005949,1FL2557.00,RMAHKGC-2021012050,1,2020/12/28 19:45,2020/12/29 14:53,2020/12/31 19:56,HELD,FGIN,2021/2/3 20:35,HOLD_ADI_PN,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,
VISERA,CF,,WO_NO_210107004,D,J,PROD,GC02M1-2,C00007,A005948,FL6237.01,HK2005010002,2,2021/1/10 15:52,2021/1/10 20:30,2021/1/12 11:50,WAIT,FGIN,2021/1/19 19:49,,24;25,,
VISERA,CF,,WO_NO_210107004,D,J,PROD,GC02M1-2,C00007,A005947,FL6277.02,HK2005010002,1,2021/1/10 15:52,2021/1/10 20:51,2021/1/16 2:04,HELD,FGIN,2021/2/3 21:01,HOLD_ADI_OT,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,
VISERA,CF,,WO_NO_210107004,D,J,PROD,GC02M1-2,C00007,A005946,FL6277.01,HK2005010002,1,2021/1/10 15:52,2021/1/10 20:51,2021/1/16 2:04,HELD,FGIN,2021/2/3 20:34,FUHOLD_EX,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,
VISERA,CF,,WO_NO_210107004,D,J,PROD,GC02M1-2,C00007,A005945,FL6291.01,HK2005010002,2,2021/1/10 16:22,2021/2/3 11:45,2021/1/16 19:46,FGIN,FGIN,,,24;25,,
VISERA,CF,,WO_NO_200917026,E,J,PROD,GC02M1-2,018L,A005944,RCV20103023,HK2005010002,10,2020/10/22 11:08,2020/10/22 11:08,,RECV,FGIN,,,2;4;5;6;7;8;9;21;22;23,,
VISERA,CF,,WO_NO_200929027,E,J,PROD,GC02M1-2,018L,A005943,RCV20113358,HK2005010002,1,2020/11/25 14:28,2020/11/25 14:28,,RECV,FGIN,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,
VISERA,CF,,WO_NO_210125006,E,J,PROD,GC02M1-2,018L,A005942,FL7712.00,HK2005010002,25,2021/1/28 18:25,2021/1/28 21:34,,WAIT,FGIN,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,
VISERA,CF,,WO_NO_201216029,E,J,PROD,GC02M1-2,018L,A005941,FL4473.01,HK2005010002,1,2020/12/17 21:50,2020/12/18 21:50,2020/12/19 23:11,WAIT,FGIN,2021/2/2 7:59,,21,,
VISERA,CF,,WO_NO_210120002,E,J,PROD,GC02M1-2,018L,A005940,FL7381.00,HK2005010002,22,2021/1/25 16:34,2021/1/25 20:36,2021/1/30 11:13,WAIT,FGIN,2021/2/1 15:45,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;23;24;25,,
VISERA,CF,,WO_NO_210120002,E,J,PROD,GC02M1-2,018L,A005939,FL7462.00,HK2005010002,3,2021/1/25 16:34,2021/1/26 10:01,2021/1/30 11:13,WAIT,FGIN,2021/2/1 13:29,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;23;24;25,,
VISERA,CF,,WO_NO_210122011,E,J,ENG,GC02M1-2,018L,A005938,F65812.00,HK2005010002,25,2021/1/28 14:31,2021/1/29 16:41,,WAIT,FGIN,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,
VISERA,CF,,WO_NO_201231010,E,J,PROD,GC02M1-2,018L,A005937,FL5712.01,HK2005010002,2,2021/1/3 16:07,2021/1/3 20:42,2021/1/6 19:55,WAIT,FGIN,2021/1/16 13:28,,24;25,,
VISERA,CF,,WO_NO_210122020,E,J,ENG,GC02M1-2,018L,A005936,F65811.00,HK2005010002,24,2021/1/27 20:24,2021/1/28 2:01,2021/2/2 19:41,RUN,FGIN,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,,
VISERA,CF,,WO_NO_210120003,E,J,ENG,GC02M1-2,018L,A005935,F65794.00,HK2005010002,25,2021/1/25 16:34,2021/1/25 20:51,2021/1/31 7:46,HELD,FGIN,2021/2/4 6:09,Q_TIME,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,
VISERA,CF,,WO_NO_201231010,E,J,PROD,GC02M1-2,018L,A005934,FL5747.01,HK2005010002,2,2021/1/3 16:07,2021/1/3 21:03,2021/1/6 10:14,WAIT,FGIN,2021/2/2 8:00,,2;7,,
VISERA,CF,,WO_NO_210113018,E,J,PROD,GC02M1-2,018L,A005933,FL6998.02,HK2005010002,1,2021/1/18 16:27,2021/1/20 20:23,2021/1/23 8:14,RUN,FGIN,2021/2/3 22:46,,4,,
VISERA,CF,,WO_NO_210113018,E,J,PROD,GC02M1-2,018L,A005932,FL6998.01,HK2005010002,11,2021/1/18 16:27,2021/1/20 20:23,2021/1/23 8:14,WAIT,FGIN,2021/2/2 8:32,,2;6;8;10;12;14;16;18;20;22;24,,
VISERA,CF,,WO_NO_210113018,E,J,PROD,GC02M1-2,018L,A005931,FL7027.03,HK2005010002,8,2021/1/18 16:27,2021/1/20 20:42,2021/1/23 8:16,HELD,FGIN,2021/1/29 16:35,HOLD_OT,6;8;10;15;17;19;21;23,,
VISERA,CF,,WO_NO_210113018,E,J,PROD,GC02M1-2,018L,A005930,FL7027.02,HK2005010002,4,2021/1/18 16:27,2021/1/20 20:42,2021/1/23 8:16,RUN,FGIN,,,2;4;13;25,,
VISERA,CF,,WO_NO_210106007,E,J,PROD,GC02M1-2,018L,A005929,FL6535.01,HK2005010002,1,2021/1/11 18:48,2021/1/14 20:21,2021/1/20 12:09,WAIT,FGIN,2021/2/2 8:00,,3,,
